No,Fixture,Home,Away,Event,Sub Event,Player,Player Id,Sub Player,Sub Player Id,Agent,time,Team,Narration,Moment,Minute,Second,Action,Quater,
1,8979,Muranga Seal,Ulinzi Stars,Throw in,Normal,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Throw in For Muranga Seal,firsthalf,0,16,,1-15,   
2,8979,Muranga Seal,Ulinzi Stars,Pass,,Lucas Maina,9667,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,0,19,,1-15,   
3,8979,Muranga Seal,Ulinzi Stars,Pass,,Michael Owen,5525,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,0,21,,1-15,   
4,8979,Muranga Seal,Ulinzi Stars,Pass,,Dennis Munyovu,5530,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,0,36,,1-15,   
5,8979,Muranga Seal,Ulinzi Stars,Pass,,Victor Haki,11373,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,0,38,,1-15,   
6,8979,Muranga Seal,Ulinzi Stars,Ball,Opp lost,Victor Haki,11373,,,Michael William,9/21/2025,Muranga Seal,Ball For Muranga Seal,firsthalf,0,43,,1-15,   
7,8979,Muranga Seal,Ulinzi Stars,Ball,Opp lost,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Ball For Muranga Seal,firsthalf,0,49,,1-15,   
8,8979,Muranga Seal,Ulinzi Stars,Throw in,Normal,Lucas Maina,9667,,,Michael William,9/21/2025,Muranga Seal,Throw in For Muranga Seal,firsthalf,1,26,,1-15,   
9,8979,Muranga Seal,Ulinzi Stars,Throw in,Normal,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Throw in For Muranga Seal,firsthalf,1,44,,1-15,   
10,8979,Muranga Seal,Ulinzi Stars,Ball,Opp lost,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Ball For Muranga Seal,firsthalf,1,47,,1-15,   
11,8979,Muranga Seal,Ulinzi Stars,Blocks,Cross,Joseph Omulama,15612,,,Michael William,9/21/2025,Muranga Seal,Blocks For Muranga Seal,firsthalf,2,7,,1-15,   
12,8979,Muranga Seal,Ulinzi Stars,Long GK,Complete,Mustapha Oduor,19422,,,Michael William,9/21/2025,Muranga Seal,Long GK For Muranga Seal,firsthalf,2,37,,1-15,   
13,8979,Muranga Seal,Ulinzi Stars,Pass,,Joseph Irungu Waithera,5527,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,2,42,,1-15,   
14,8979,Muranga Seal,Ulinzi Stars,Ball,Opp lost,Lucas Maina,9667,,,Michael William,9/21/2025,Muranga Seal,Ball For Muranga Seal,firsthalf,2,44,,1-15,   
15,8979,Muranga Seal,Ulinzi Stars,Pass,,Dennis Munyovu,5530,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,3,8,,1-15,   
16,8979,Muranga Seal,Ulinzi Stars,Pass,,Michael Owen,5525,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,3,10,,1-15,   
17,8979,Muranga Seal,Ulinzi Stars,Foul,Won 2/3,Lucas Maina,9667,,,Michael William,9/21/2025,Muranga Seal,Foul For Muranga Seal,firsthalf,3,19,,1-15,   
18,8979,Muranga Seal,Ulinzi Stars,Freekick,Taker 2/3,Dennis Munyovu,5530,,,Michael William,9/21/2025,Muranga Seal,Freekick For Muranga Seal,firsthalf,3,40,,1-15,   
19,8979,Muranga Seal,Ulinzi Stars,Foul,Committed,Joseph Irungu Waithera,5527,,,Michael William,9/21/2025,Muranga Seal,Foul For Muranga Seal,firsthalf,3,45,,1-15,   
20,8979,Muranga Seal,Ulinzi Stars,Pass,,Dennis Munyovu,5530,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,3,59,,1-15,   
21,8979,Muranga Seal,Ulinzi Stars,Incomplete Pass,,Joseph Omulama,15612,,,Michael William,9/21/2025,Muranga Seal,Incomplete Pass For Muranga Seal,firsthalf,4,2,,1-15,   
22,8979,Muranga Seal,Ulinzi Stars,Incomplete Pass,,Dennis Munyovu,5530,,,Michael William,9/21/2025,Muranga Seal,Incomplete Pass For Muranga Seal,firsthalf,4,8,,1-15,   
23,8979,Muranga Seal,Ulinzi Stars,Incomplete Pass,,Joseph Irungu Waithera,5527,,,Michael William,9/21/2025,Muranga Seal,Incomplete Pass For Muranga Seal,firsthalf,4,13,,1-15,   
24,8979,Muranga Seal,Ulinzi Stars,Incomplete Pass,,Jackson Imbiakha,19424,,,Michael William,9/21/2025,Muranga Seal,Incomplete Pass For Muranga Seal,firsthalf,4,17,,1-15,   
25,8979,Muranga Seal,Ulinzi Stars,Interceptions,Own half,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Interceptions For Muranga Seal,firsthalf,4,30,,1-15,   
26,8979,Muranga Seal,Ulinzi Stars,Pass,,Francis Gethio,19423,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,4,31,,1-15,   
27,8979,Muranga Seal,Ulinzi Stars,Pass,,Lucas Maina,9667,,,Michael William,9/21/2025,Muranga Seal,Pass For Muranga Seal,firsthalf,4,33,,1-15,   
